10000
1,20,90
10,6,24
4,19,5
13,20,33
18,15,7
3,10,35
21,2,86
12,11,89
23,6,1
17,5,78
26,29,64
23,29,86
17,19,49
25,29,52
4,30,9
25,21,81
20,13,46
16,28,77
8,21,51
13,11,30
8,25,36
11,4,18
10,27,79
13,5,33
18,27,71
14,23,12
2,16,41
28,3,44
6,7,25
14,6,21
11,12,42
19,14,16
11,18,17
3,9,68
2,11,85
17,10,98
9,17,91
13,23,8
22,5,50
10,9,87
27,27,69
11,8,76
14,12,68
9,18,94
16,4,94
5,9,16
7,4,46
7,18,6
2,24,1
4,21,94
27,22,100
6,3,91
28,20,47
14,14,53
2,21,11
15,26,33
3,6,98
22,17,98
28,7,22
21,14,79
11,19,1
17,29,98
11,14,50
25,26,1
11,1,19
28,1,40
22,21,57
10,23,85
9,3,75
16,20,64
29,22,29
5,2,43
6,16,45
23,19,66
21,21,15
20,26,10
30,9,39
20,8,55
16,7,15
12,26,13
25,13,67
4,20,69
24,2,57
22,15,99
21,28,23
2,11,66
21,5,71
8,8,55
13,28,53
8,24,68
1,22,100
20,30,19
23,10,29
2,9,86
9,17,27
20,28,2
17,14,75
29,4,14
17,9,73
3,12,75
4,2,5
29,20,61
25,15,35
13,7,4
4,12,89
29,20,58
20,10,76
25,16,39
11,6,12
14,9,55
9,28,86
12,15,29
17,12,55
7,22,24
2,13,94
27,25,81
11,2,85
5,19,5
20,25,61
30,11,6
10,9,48
4,4,31
10,3,53
5,18,67
25,3,96
19,27,11
14,14,21
13,23,17
25,25,97
13,23,91
6,20,57
5,10,15
27,8,73
11,3,72
16,9,100
23,7,74
16,2,26
13,18,22
5,26,31
8,15,81
7,24,88
27,18,78
27,5,85
11,24,99
23,9,14
4,28,37
3,28,88
13,22,5
13,22,1
20,28,66
23,16,47
15,27,18
20,12,25
23,3,87
28,6,96
16,17,27
23,3,3
9,6,7
7,2,72
27,14,72
7,10,35
1,10,34
22,22,5
8,12,89
12,9,23
18,27,16
3,4,84
14,7,46
15,24,15
30,23,23
11,10,100
19,4,42
1,12,27
30,26,65
14,21,34
17,13,57
27,12,19
17,22,21
6,2,89
11,4,7
19,24,54
26,26,89
14,9,48
28,13,7
13,29,21
24,28,31
28,6,21
23,7,40
23,11,65
15,22,55
1,27,77
18,17,11
4,2,94
1,30,33
6,26,89
27,25,85
16,20,10
29,26,87
5,20,68
4,18,95
23,10,46
6,20,57
14,19,11
1,22,32
19,22,2
26,27,67
29,1,71
17,7,22
13,28,51
11,21,80
5,16,58
4,6,60
1,25,9
7,4,25
24,16,39
5,18,77
23,22,47
28,27,25
25,8,92
3,7,17
9,4,83
17,6,78
11,7,22
6,14,93
18,23,89
30,10,74
2,9,90
1,27,60
25,14,42
3,30,59
11,17,58
15,12,17
14,11,40
25,15,12
3,25,100
20,3,30
1,30,5
18,12,86
13,7,66
26,9,30
4,29,18
25,1,14
11,18,59
16,23,71
27,6,81
28,15,36
11,20,58
22,11,53
28,26,5
19,30,83
26,27,81
18,2,38
3,21,36
18,26,14
2,30,52
21,6,34
22,13,93
1,4,6
15,22,26
28,5,9
14,20,76
26,12,18
30,14,83
3,2,61
13,27,19
3,23,36
18,6,75
10,18,84
1,11,39
5,11,92
7,19,6
9,26,78
28,5,27
9,24,50
15,4,1
13,7,88
23,21,35
30,17,64
16,12,28
6,23,75
2,19,99
15,23,90
28,17,68
20,15,20
5,3,21
13,14,77
24,13,71
28,1,70
7,29,49
9,8,1
3,21,90
28,24,29
21,29,84
30,14,58
4,3,99
25,10,98
13,24,3
19,10,8
20,27,52
26,13,15
26,17,61
21,2,75
2,6,7
13,13,73
19,7,86
29,30,46
5,8,62
16,15,91
30,26,14
19,25,26
10,6,33
19,20,5
22,19,34
10,30,86
12,4,73
7,5,18
29,13,86
30,16,60
30,24,4
5,2,90
19,27,63
4,24,99
30,16,19
30,23,87
29,26,17
22,26,55
26,14,51
30,18,16
12,7,12
14,16,1
2,15,55
2,13,42
28,12,6
30,16,65
27,9,41
11,11,83
13,19,37
8,21,84
17,8,32
7,25,33
9,28,83
29,25,85
8,26,45
14,28,93
24,15,78
28,21,42
10,27,57
23,16,88
16,22,22
8,25,99
7,21,33
12,8,33
26,9,75
18,26,96
3,11,51
22,27,51
26,10,80
11,2,95
20,6,37
14,27,24
27,18,96
30,15,51
19,14,49
29,12,26
7,1,27
17,7,39
3,13,100
28,1,25
4,6,17
21,27,77
16,14,5
26,10,70
